,pri_gene,symbol
CADPS2,CADPS2,CADPS2
UBQLN1,UBQLN1,UBQLN1
GLIPR1L1,GLIPR1L1,GLIPR1L1
MYL6B,MYL6B,MYL6B
TCIM,TCIM,TCIM
H3C7,H3C7,H3C7
H3C7,H3C7,H3C4
H3C7,H3C7,H3C3
H3C7,H3C7,H3C11
H3C7,H3C7,H3C8
H3C7,H3C7,H3C10
H3C7,H3C7,H3C2
H3C7,H3C7,H3C12
H3C7,H3C7,H3C1
H3C7,H3C7,H3C6
VASH1,VASH1,VASH1
MRTO4,MRTO4,MRTO4
PLXDC1,PLXDC1,PLXDC1
BAX,BAX,BAX
HLA-A,HLA-A,HLA-A
MRPS14,MRPS14,MRPS14
MPO,MPO,MPO
RAB11A,RAB11A,RAB11A
ELP3,ELP3,ELP3
MGAT4B,MGAT4B,MGAT4B
NDUFB8,NDUFB8,NDUFB8
KCNH2,KCNH2,KCNH2
EXOSC8,EXOSC8,EXOSC8
SYVN1,SYVN1,SYVN1
ZNF770,ZNF770,ZNF770
VGLL4,VGLL4,VGLL4
IREB2,IREB2,IREB2
PRRG3,PRRG3,PRRG3
IFNLR1,IFNLR1,IFNLR1
IRX1,IRX1,IRX1
FRRS1L,FRRS1L,FRRS1L
HLA-DRB1,HLA-DRB1,HLA-DRB1
CCIN,CCIN,CCIN
MRPS18C,MRPS18C,MRPS18C
MC1R,MC1R,MC1R
PUMA,PUMA,BBC3
MRPL14,MRPL14,MRPL14
ZNF706,ZNF706,ZNF706
AP1G2,AP1G2,AP1G2
CORO1A,CORO1A,CORO1A
CARF,CARF,PEDS1
CARF,CARF,CARF
SERTAD2,SERTAD2,SERTAD2
SIK2,SIK2,SIK2
DHFR2,DHFR2,DHFR2
TAS1R3,TAS1R3,TAS1R3
IGF1R,IGF1R,IGF1R
RAB34,RAB34,RAB34
LMX1B,LMX1B,LMX1B
VAV1,VAV1,VAV1
H2AZ1,H2AZ1,H2AZ1
COA6,COA6,COA6
MUC6,MUC6,MUC6
PPARD,PPARD,PPARD
ERF,ERF,ETF1
ERF,ERF,ERF
MRRF,MRRF,MRRF
TRPC7,TRPC7,TRPM2
TRPC7,TRPC7,TRPC7
UBALD2,UBALD2,UBALD2
ZNF560,ZNF560,ZNF560
ALG3,ALG3,ALG3
LTB4R,LTB4R,LTB4R
PET117,PET117,PET117
AGXT2,AGXT2,AGXT2
RPL28,RPL28,RPL28
ZNF251,ZNF251,ZNF251
PURB,PURB,PURB
GLMP,GLMP,GLMP
FBXL22,FBXL22,FBXL22
MSC,MSC,SLC25A37
MSC,MSC,MSC
BHLHE41,BHLHE41,BHLHE41
MIDN,MIDN,MIDN
NUDT22,NUDT22,NUDT22
STX18,STX18,STX18
ERRALPHA,ERRALPHA,ESRRA
DDX21,DDX21,DDX56
DDX21,DDX21,DDX21
ABCA5,ABCA5,ABCA5
MIR3074,MIR3074,MIR3074
SOX10,SOX10,SOX10
POLR2L,POLR2L,POLR2L
MPST,MPST,MPST
KRT83,KRT83,KRT83
SGK3,SGK3,SGK3
CWF19L1,CWF19L1,CWF19L1
AMBP,AMBP,AMBP
SLC10A3,SLC10A3,SLC10A3
PCNX3,PCNX3,PCNX3
WDR81,WDR81,WDR81
CSF2,CSF2,CSF2
MRPS23,MRPS23,MRPS23
HEXIM2,HEXIM2,HEXIM2
CBLN3,CBLN3,CBLN3
FAM50B,FAM50B,FAM50B
PRTN3,PRTN3,PRTN3
NDUFA10,NDUFA10,NDUFA10
RAB8A,RAB8A,RAB8A
NDUFV3,NDUFV3,NDUFV3
KRT4,KRT4,KRT4
TXNL1,TXNL1,TXNL1
DAGLB,DAGLB,DAGLB
LCN9,LCN9,LCN9
CDH1,CDH1,FZR1
CDH1,CDH1,CDH1
CNKSR1,CNKSR1,CNKSR1
RTN4IP1,RTN4IP1,RTN4IP1
SDHAF3,SDHAF3,SDHAF3
NASP,NASP,NASP
GATA3,GATA3,GATA3
BCL7C,BCL7C,BCL7C
BRAF,BRAF,BRAF
PHAX,PHAX,PHAX
RASA2,RASA2,RASA2
CD3D,CD3D,CD3D
PLEK,PLEK,PLEK
CTBP2,CTBP2,CTBP2
DDI2,DDI2,DDI2
ISCA2,ISCA2,ISCA2
ZNF561,ZNF561,ZNF561
NDUFA8,NDUFA8,NDUFA8
TIPIN,TIPIN,TIPIN
LEKR1,LEKR1,LEKR1
PLXNA3,PLXNA3,PLXNA3
IDI1,IDI1,IDI1
THNSL2,THNSL2,THNSL2
ATP5IF1,ATP5IF1,ATP5IF1
KRTAP3-2,KRTAP3-2,KRTAP3-2
MRPL22,MRPL22,MRPL40
MRPL22,MRPL22,MRPL22
INAFM1,INAFM1,INAFM1
UBAC1,UBAC1,UBAC1
TSEN34,TSEN34,TSEN34
P3H4,P3H4,P3H4
ZNF20,ZNF20,ZNF20
ZNF20,ZNF20,ZNF121
ZNF20,ZNF20,ZNF197
LHX8,LHX8,LHX8
NQO1,NQO1,NQO1
WNT9A,WNT9A,WNT9A
NDUFA11,NDUFA11,NDUFA11
CFAP206,CFAP206,CFAP206
IQSEC3,IQSEC3,IQSEC3
SLMAP,SLMAP,SLMAP
GPAA1,GPAA1,GPAA1
TECPR2,TECPR2,TECPR2
S1PR5,S1PR5,S1PR5
GM2A,GM2A,GM2A
PCDH7,PCDH7,PCDH7
ANXA13,ANXA13,ANXA13
IGFALS,IGFALS,IGFALS
NHEJ1,NHEJ1,NHEJ1
HACD2,HACD2,HACD2
SUV39H1,SUV39H1,SUV39H1
RAD1,RAD1,RNASE6
RAD1,RAD1,ERCC4
RAD1,RAD1,RRAD
RAD1,RAD1,RAD1
MTFMT,MTFMT,MTFMT
SURF1,SURF1,SURF1
FRMD4B,FRMD4B,FRMD4B
PDE6G,PDE6G,PDE6G
OSGEP,OSGEP,OSGEP
UNC45B,UNC45B,UNC45B
ENKD1,ENKD1,ENKD1
MRM3,MRM3,MRM3
PRKD3,PRKD3,PRKD3
TRIM45,TRIM45,TRIM45
ZMIZ1,ZMIZ1,ZMIZ1
XAB2,XAB2,XAB2
IYD,IYD,IYD
CCER2,CCER2,CCER2
MEST,MEST,MEST
AHCTF1,AHCTF1,AHCTF1
MFAP2,MFAP2,MFAP2
LAMA3,LAMA3,LAMA4
LAMA3,LAMA3,LAMA3
TMEM123,TMEM123,NPM3
TMEM123,TMEM123,TMEM123
ESPNL,ESPNL,ESPNL
ZFP69B,ZFP69B,ZFP69B
MRPL13,MRPL13,MRPL13
PLEKHA8,PLEKHA8,PLEKHA8
PLEKHA8,PLEKHA8,PLEKHA8P1
C11orf58,C11orf58,C11orf58
SBDS,SBDS,SBDS
AGAP3,AGAP3,AGAP3
MED20,MED20,MED20
H2BC1,H2BC1,H2BC1
RASL12,RASL12,RASL12
SLC35F3,SLC35F3,SLC35F3
PLEC,PLEC,PLEC
TRIM33,TRIM33,TRIM33
SHMT1,SHMT1,SHMT1
NPPC,NPPC,NPPC
SNX21,SNX21,SNX21
GPR4,GPR4,GPR4
BUD31,BUD31,BUD31
ECHS1,ECHS1,ECHS1
CLCN5,CLCN5,CLCN5
GGA1,GGA1,GGA1
PTCHD4,PTCHD4,PTCHD4
DUSP6,DUSP6,DUSP6
FHL3,FHL3,UNC13D
FHL3,FHL3,FHL3
UGT1A7,UGT1A7,UGT1A7
MSGN1,MSGN1,MSGN1
COMMD10,COMMD10,COMMD10
LDB3,LDB3,LDB3
RLN3,RLN3,RLN3
NEK1,NEK1,NEK1
PLPP2,PLPP2,PLPP2
NOTCH2,NOTCH2,NOTCH2
COQ3,COQ3,COQ3
ATP6AP2,ATP6AP2,ATP6AP2
TLX2,TLX2,TLX2
RASGRP2,RASGRP2,RASGRP2
PLCL2,PLCL2,PLCL2
DUOXA2,DUOXA2,DUOXA2
ARGFX,ARGFX,ARGFX
KLF17,KLF17,KLF17
CLN5,CLN5,CLN5
RCN1,RCN1,RCAN1
RCN1,RCN1,RCN1
TXLNA,TXLNA,TXLNA
C22orf23,C22orf23,C22orf23
KIT,KIT,KIT
ZNF326,ZNF326,ZNF326
GPAM,GPAM,GPAM
NDUFB5,NDUFB5,NDUFB5
CEACAM6,CEACAM6,CEACAM6
BCLAF1,BCLAF1,BCLAF1
MSI2,MSI2,MSI2
AR,AR,AKR1B1
AR,AR,AREG
AR,AR,AR
AQP10,AQP10,AQP10
PHLDA1,PHLDA1,PHLDA1
SPATA20,SPATA20,SPATA20
MRTFA,MRTFA,MRTFA
KIF7,KIF7,KIF7
LIF,LIF,LIF
PDE4DIP,PDE4DIP,PDE4DIP
PDE4DIP,PDE4DIP,PDE4DIPP2
STK25,STK25,STK25
CLTCL1,CLTCL1,CLTCL1
B4GAT1,B4GAT1,B4GAT1
BIRC5,BIRC5,BIRC5
TUBGCP2,TUBGCP2,TUBGCP2
FOXB2,FOXB2,FOXB2
PDCD2L,PDCD2L,PDCD2L
PSMD5,PSMD5,PSMD5
KLF13,KLF13,KLF13
CLPP,CLPP,CLPP
BRMS1,BRMS1,BRMS1L
BRMS1,BRMS1,BRMS1
MRPS7,MRPS7,MRPS7
YBEY,YBEY,YBEY
ARL4D,ARL4D,ARL4D
REN,REN,KCTD11
REN,REN,REN
GPR65,GPR65,GPR65
LYZL4,LYZL4,LYZL4
CCDC107,CCDC107,CCDC107
ZNF37A,ZNF37A,ZNF37A
TPRG1,TPRG1,TPRG1
HIKESHI,HIKESHI,HIKESHI
THOC7,THOC7,THOC7
PHF20L1,PHF20L1,PHF20L1
PASK,PASK,STK39
PASK,PASK,PASK
CST2,CST2,CST2
TGDS,TGDS,TGDS
FAM222A,FAM222A,FAM222A
NAA10,NAA10,NAA10
OVCA2,OVCA2,OVCA2
MAP3K5,MAP3K5,MAP3K5
KRT72,KRT72,KRT72
ZNF816,ZNF816,ZNF816
YWHAQ,YWHAQ,YWHAQ
ELP4,ELP4,LOC105980003
ELP4,ELP4,ELP4
SLC66A3,SLC66A3,SLC66A3
FAM117A,FAM117A,FAM117A
ACTC1,ACTC1,ACTC1
ARHGEF12,ARHGEF12,ARHGEF12
THRSP,THRSP,THRSP
EPN2,EPN2,EPN2
MBLAC2,MBLAC2,MBLAC2
ZNF628,ZNF628,ZNF628
MIR373,MIR373,MIR373
WBP1,WBP1,DDOST
WBP1,WBP1,WBP1
AKAP8L,AKAP8L,AKAP8L
CAPS,CAPS,CADPS
CAPS,CAPS,CAPS
LYN,LYN,LYN
BIRC6,BIRC6,BIRC6
PHF21B,PHF21B,PHF21B
HGS,HGS,HGS
TMEM87B,TMEM87B,TMEM87B
FBXO47,FBXO47,FBXO47
TENT5B,TENT5B,TENT5B
CHADL,CHADL,CHADL
NDUFA1,NDUFA1,NDUFA1
C2CD4B,C2CD4B,C2CD4B
TPR,TPR,TPR
PSENEN,PSENEN,PSENEN
UQCR11,UQCR11,UQCR11
TAFA3,TAFA3,TAFA3
SLIRP,SLIRP,SLIRP
DHX8,DHX8,DHX8
AIMP2,AIMP2,AIMP2
ARL13B,ARL13B,ARL13B
GGT7,GGT7,GGT7
GLRA2,GLRA2,GLRA2
TXN2,TXN2,TXN2
SLC25A39,SLC25A39,SLC25A39
CDH3,CDH3,CDH15
CDH3,CDH3,CDH3
YPEL1,YPEL1,YPEL1
HNF4A,HNF4A,HNF1A
HNF4A,HNF4A,HNF4A
PLPBP,PLPBP,PLPBP
WDFY3,WDFY3,WDFY3
RMDN1,RMDN1,RMDN1
TOP3A,TOP3A,TOP3A
ACSL1,ACSL1,ACSL1
C5orf47,C5orf47,C5orf47
TMCO4,TMCO4,TMCO4
TCL1B,TCL1B,TCL1B
SPRYD4,SPRYD4,SPRYD4
ACTL8,ACTL8,ACTL8
PCDHB3,PCDHB3,PCDHB3
ATP5F1B,ATP5F1B,ATP5F1B
HDGF,HDGF,HDGF
ARHGEF5,ARHGEF5,ARHGEF5
PRICKLE1,PRICKLE1,PRICKLE1
MPC1,MPC1,MPC1
CD49B,CD49B,ITGA2
EFCAB2,EFCAB2,DRC8
ATRX,ATRX,ATRX
HOXC13,HOXC13,HOXC13
LMTK2,LMTK2,LMTK2
SUN2,SUN2,SUN2
GTF3C1,GTF3C1,GTF3C1
PPIH,PPIH,PPIH
NFKB1,NFKB1,NFKB1
NCOA3,NCOA3,NCOA3
XAGE5,XAGE5,XAGE5
CKAP2L,CKAP2L,CKAP2L
